"PartitionID","TID","Items","SOT"
"","629","[23, 24, 40, 41, 43]",""
"","630","[14, 17, 29, 44, 47]",""
"","635","[0, 6, 19, 26, 43]",""
"","639","[0, 2, 30, 46, 47]",""
"","662","[4, 9, 13, 17, 37]",""
"","663","[5, 22, 35, 38, 47]",""
"","671","[23, 33, 39, 42, 45]",""
"","674","[16, 19, 32, 38, 45]",""
"","681","[16, 17, 33, 47, 49]",""
"","684","[1, 11, 21, 42, 43]",""
"","687","[0, 2, 26, 43, 46]",""
"","690","[7, 11, 14, 18, 23]",""
"","716","[1, 13, 20, 31, 45]",""
"","725","[5, 29, 32, 35, 42]",""
"","735","[3, 9, 37, 42, 44]",""
"","736","[19, 21, 23, 27, 30]",""
"","738","[5, 15, 19, 22, 23]",""
"","750","[0, 18, 24, 43, 48]",""
"","757","[23, 24, 40, 41, 43]",""
"","781","[12, 17, 27, 43, 45]",""
"","784","[8, 20, 29, 32, 46]",""
"","785","[10, 22, 23, 26, 36]",""
"","786","[7, 20, 26, 44, 47]",""
"","787","[2, 18, 27, 28, 33]",""
"","791","[0, 14, 20, 44, 46]",""
"","792","[5, 7, 11, 24, 27]",""
"","795","[23, 24, 40, 41, 43]",""
"","801","[23, 24, 40, 41, 43]",""
"","805","[27, 31, 32, 36, 46]",""
"","808","[0, 2, 7, 18, 48]",""
"","813","[13, 27, 28, 42, 48]",""
"","830","[15, 26, 28, 33, 36]",""
"","833","[18, 35, 41, 43, 49]",""
"","846","[4, 14, 21, 25, 41]",""
"","848","[9, 13, 22, 42, 45]",""
"","849","[0, 14, 22, 29, 46]",""
"","869","[23, 24, 40, 41, 43]",""
"","872","[5, 22, 31, 37, 47]",""
"","874","[4, 14, 16, 37, 44]",""
"","876","[8, 21, 29, 33, 42]",""
"","883","[23, 24, 40, 41, 43]",""
"","886","[0, 2, 28, 41, 46]",""
"","887","[23, 24, 40, 41, 43]",""
"","891","[3, 14, 18, 22, 35]",""
"","905","[23, 24, 40, 41, 43]",""
"","906","[6, 28, 37, 38, 49]",""
"","913","[3, 9, 18, 35, 41]",""
"","919","[23, 24, 40, 41, 43]",""
"","941","[6, 9, 19, 24, 44]",""
"","942","[23, 24, 40, 41, 43]",""
"","943","[5, 12, 31, 36, 48]",""
"","944","[0, 2, 20, 44, 46]",""
"","975","[5, 7, 14, 17, 22]",""
"","998","[0, 4, 9, 30, 33]",""
"p6","4","[3, 4, 15, 18, 35, 44]","6"
"","7","[4, 12, 31, 36, 44, 48]",""
"","17","[4, 6, 9, 10, 16, 22]",""
"","38","[0, 16, 30, 32, 45, 47]",""
"","78","[1, 5, 8, 14, 22, 26]",""
"","79","[7, 27, 30, 36, 37, 43]",""
"","82","[7, 11, 20, 28, 37, 45]",""
"","106","[13, 18, 21, 41, 47, 48]",""
"","108","[6, 16, 17, 31, 33, 42]",""
"","124","[7, 11, 20, 29, 37, 45]",""
"","137","[3, 11, 14, 18, 29, 35]",""
"","187","[3, 18, 21, 35, 39, 46]",""
"","215","[4, 14, 20, 32, 36, 44]",""
"","222","[13, 24, 26, 35, 39, 47]",""
"","234","[5, 22, 25, 28, 34, 46]",""
"","258","[1, 11, 14, 32, 34, 35]",""
"","277","[2, 4, 36, 40, 41, 48]",""
"","301","[3, 4, 9, 33, 37, 43]",""
"","334","[4, 9, 13, 33, 43, 46]",""
"","336","[2, 8, 10, 19, 35, 45]",""
"","347","[8, 12, 14, 33, 44, 47]",""
"","350","[3, 4, 9, 11, 12, 47]",""
"","354","[0, 13, 27, 28, 31, 36]",""
"","368","[3, 15, 16, 20, 33, 45]",""
"","390","[12, 17, 26, 29, 31, 47]",""
"","409","[3, 18, 29, 35, 37, 48]",""
"","433","[8, 17, 23, 29, 43, 47]",""
"","435","[9, 18, 35, 38, 40, 47]",""
"","477","[9, 13, 14, 33, 38, 49]",""
"","535","[14, 29, 31, 35, 41, 49]",""
"","546","[5, 8, 14, 21, 33, 38]",""
"","649","[1, 17, 25, 37, 41, 49]",""
"","742","[12, 26, 31, 36, 41, 48]",""
"","775","[11, 23, 25, 36, 38, 45]",""
"","803","[1, 3, 19, 29, 31, 44]",""
"","821","[4, 8, 13, 27, 28, 46]",""
"","832","[15, 22, 27, 31, 33, 40]",""
"","841","[7, 15, 22, 37, 43, 49]",""
"","907","[14, 16, 17, 18, 26, 31]",""
"","924","[0, 6, 16, 30, 39, 47]",""
"","946","[4, 12, 14, 19, 32, 48]",""
"","958","[5, 10, 32, 33, 39, 44]",""
"","960","[5, 22, 25, 29, 37, 43]",""
"","996","[2, 10, 22, 31, 33, 46]",""
"p7","39","[1, 11, 19, 25, 27, 29, 46]","7"
"","133","[7, 21, 27, 28, 33, 36, 47]",""
"","140","[5, 6, 16, 22, 33, 38, 49]",""
"","141","[0, 2, 12, 24, 26, 31, 46]",""
"","164","[3, 8, 9, 20, 22, 23, 42]",""
"","165","[4, 15, 17, 21, 26, 36, 48]",""
"","239","[1, 12, 16, 17, 19, 26, 48]",""
"","280","[1, 2, 19, 21, 23, 28, 45]",""
"","281","[7, 10, 14, 16, 23, 32, 45]",""
"","305","[5, 21, 22, 25, 27, 31, 42]",""
"","319","[1, 4, 10, 14, 25, 36, 49]",""
"","393","[9, 13, 18, 23, 25, 33, 40]",""
"","468","[1, 3, 29, 41, 42, 43, 46]",""
"","515","[0, 1, 5, 23, 32, 42, 44]",""
"","520","[0, 5, 23, 33, 35, 46, 48]",""
"","524","[11, 14, 26, 28, 41, 43, 45]",""
"","527","[0, 2, 15, 16, 22, 35, 46]",""
"","652","[24, 27, 28, 34, 39, 45, 48]",""
"","698","[7, 9, 11, 13, 37, 39, 45]",""
"","779","[0, 2, 12, 39, 41, 46, 49]",""
"","788","[14, 21, 23, 24, 30, 42, 46]",""
"","797","[0, 6, 28, 33, 35, 46, 48]",""
"","817","[0, 3, 7, 22, 37, 39, 40]",""
"","836","[1, 19, 28, 31, 38, 44, 48]",""
"","866","[8, 12, 16, 18, 29, 34, 49]",""
"","880","[1, 3, 14, 31, 44, 45, 47]",""
"","884","[7, 11, 19, 38, 42, 43, 47]",""
"","940","[12, 13, 31, 35, 36, 41, 44]",""
"","965","[7, 11, 27, 37, 39, 45, 49]",""
"","972","[6, 9, 15, 24, 25, 40, 45]",""
"","973","[7, 8, 9, 11, 29, 37, 45]",""
"","977","[2, 7, 15, 22, 25, 33, 41]",""
"p8","104","[1, 12, 15, 27, 31, 34, 36, 48]","8"
"","111","[6, 12, 26, 29, 31, 32, 36, 48]",""
"","119","[16, 18, 23, 27, 29, 30, 40, 49]",""
"","158","[0, 2, 5, 19, 33, 35, 39, 46]",""
"","213","[1, 6, 8, 15, 18, 19, 21, 42]",""
"","293","[8, 21, 24, 33, 34, 40, 42, 44]",""
"","313","[9, 13, 20, 21, 24, 39, 41, 45]",""
"","333","[5, 14, 20, 24, 28, 31, 39, 46]",""
"","414","[1, 5, 7, 10, 21, 22, 30, 31]",""
"","458","[0, 2, 13, 18, 24, 36, 46, 47]",""
"","574","[0, 18, 27, 31, 34, 37, 39, 47]",""
"","579","[1, 16, 18, 20, 25, 29, 36, 46]",""
"","637","[5, 21, 26, 27, 28, 39, 42, 49]",""
"","705","[6, 15, 21, 27, 28, 34, 41, 46]",""
"","727","[4, 6, 8, 10, 18, 22, 35, 37]",""
"","949","[1, 10, 13, 19, 25, 26, 33, 39]",""
